id	path	created_at	work_started_at	done_at	status	linux_path	architectures	cluster	weight	risk	dependencies	recommended_implementer	pipeline_id	attempt	lease_owner	lease_expires_at	implement_done_at	review_started_at	review_1_done_at	review_2_done_at	apply_started_at	updated_at	resume_status	last_error
S000001	src/arch/arm/xen/enlighten.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm/xen/enlighten.c	aarch64	arch	58.8	high		luna		0								2026-08-05T14:34:39.049Z		
S000002	src/arch/arm/xen/grant-table.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm/xen/grant-table.c	aarch64	arch	5.8	high		luna		0								2026-08-05T14:34:39.049Z		
S000003	src/arch/arm/xen/mm.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm/xen/mm.c	aarch64	arch	14.1	high		luna		0								2026-08-05T14:34:39.049Z		
S000004	src/arch/arm/xen/p2m.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm/xen/p2m.c	aarch64	arch	21.0	high		luna		0								2026-08-05T14:34:39.049Z		
S000006	src/arch/arm64/crypto/aes-ce-ccm-glue.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/crypto/aes-ce-ccm-glue.c	aarch64	arch	32.4	high		luna		0								2026-08-05T14:34:39.049Z		
S000007	src/arch/arm64/crypto/aes-glue-ce.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/crypto/aes-glue-ce.c	aarch64	arch	1.0	high		luna		0								2026-08-05T14:34:39.049Z		
S000008	src/arch/arm64/crypto/aes-glue-neon.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/crypto/aes-glue-neon.c	aarch64	arch	1.0	high		luna		0								2026-08-05T14:34:39.049Z		
S000010	src/arch/arm64/crypto/aes-neonbs-glue.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/crypto/aes-neonbs-glue.c	aarch64	arch	46.4	high		luna		0								2026-08-05T14:34:39.049Z		
S000012	src/arch/arm64/crypto/ghash-ce-glue.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/crypto/ghash-ce-glue.c	aarch64	arch	40.4	high		luna		0								2026-08-05T14:34:39.049Z		
S000013	src/arch/arm64/kernel/acpi.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/acpi.c	aarch64	arch	49.2	high		luna		0								2026-08-05T14:34:39.049Z		
S000014	src/arch/arm64/kernel/acpi_numa.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/acpi_numa.c	aarch64	arch	10.9	high		luna		0								2026-08-05T14:34:39.049Z		
S000015	src/arch/arm64/kernel/alternative.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/alternative.c	aarch64	arch	30.5	high		luna		0								2026-08-05T14:34:39.049Z		
S000016	src/arch/arm64/kernel/cacheinfo.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/cacheinfo.c	aarch64	arch	11.9	high		luna		0								2026-08-05T14:34:39.049Z		
S000018	src/arch/arm64/kernel/cpu_errata.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/cpu_errata.c	aarch64	arch	101.4	high		luna		0								2026-08-05T14:34:39.049Z		
S000019	src/arch/arm64/kernel/cpu_ops.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/cpu_ops.c	aarch64	arch	11.8	high		luna		0								2026-08-05T14:34:39.049Z		
S000020	src/arch/arm64/kernel/cpufeature.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/cpufeature.c	aarch64	arch	421.5	high		luna		0								2026-08-05T14:34:39.049Z		
S000021	src/arch/arm64/kernel/cpuinfo.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/cpuinfo.c	aarch64	arch	54.4	high		luna		0								2026-08-05T14:34:39.049Z		
S000022	src/arch/arm64/kernel/crash_dump.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/crash_dump.c	aarch64	arch	4.9	high		luna		0								2026-08-05T14:34:39.049Z		
S000023	src/arch/arm64/kernel/debug-monitors.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/debug-monitors.c	aarch64	arch	39.5	high		luna		0								2026-08-05T14:34:39.049Z		
S000025	src/arch/arm64/kernel/efi.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/efi.c	aarch64	arch	26.3	high		luna		0								2026-08-05T14:34:39.049Z		
S000026	src/arch/arm64/kernel/elfcore.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/elfcore.c	aarch64	arch	13.9	high		luna		0								2026-08-05T14:34:39.049Z		
S000027	src/arch/arm64/kernel/entry-common.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/entry-common.c	aarch64	arch	101.4	high		luna		0								2026-08-05T14:34:39.049Z		
S000029	src/arch/arm64/kernel/fpsimd.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/fpsimd.c	aarch64	arch	212.5	high		luna		0								2026-08-05T14:34:39.049Z		
S000032	src/arch/arm64/kernel/hibernate.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/hibernate.c	aarch64	arch	48.3	high		luna		0								2026-08-05T14:34:39.049Z		
S000033	src/arch/arm64/kernel/hw_breakpoint.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/hw_breakpoint.c	aarch64	arch	102.1	high		luna		0								2026-08-05T14:34:39.049Z		
S000035	src/arch/arm64/kernel/idle.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/idle.c	aarch64	arch	4.5	high		luna		0								2026-08-05T14:34:39.049Z		
S000036	src/arch/arm64/kernel/io.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/io.c	aarch64	arch	5.2	high		luna		0								2026-08-05T14:34:39.049Z		
S000037	src/arch/arm64/kernel/irq.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/irq.c	aarch64	arch	13.5	high		luna		0								2026-08-05T14:34:39.049Z		
S000038	src/arch/arm64/kernel/jump_label.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/jump_label.c	aarch64	arch	3.5	high		luna		0								2026-08-05T14:34:39.049Z		
S000039	src/arch/arm64/kernel/kaslr.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/kaslr.c	aarch64	arch	4.1	high		luna		0								2026-08-05T14:34:39.049Z		
S000040	src/arch/arm64/kernel/kexec_image.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/kexec_image.c	aarch64	arch	13.8	high		luna		0								2026-08-05T14:34:39.049Z		
S000042	src/arch/arm64/kernel/machine_kexec.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/machine_kexec.c	aarch64	arch	29.6	high		luna		0								2026-08-05T14:34:39.049Z		
S000043	src/arch/arm64/kernel/machine_kexec_file.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/machine_kexec_file.c	aarch64	arch	20.1	high		luna		0								2026-08-05T14:34:39.049Z		
S000044	src/arch/arm64/kernel/module-plts.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/module-plts.c	aarch64	arch	37.7	high		luna		0								2026-08-05T14:34:39.049Z		
S000045	src/arch/arm64/kernel/module.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/module.c	aarch64	arch	51.9	high		luna		0								2026-08-05T14:34:39.049Z		
S000046	src/arch/arm64/kernel/mte.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/mte.c	aarch64	arch	65.9	high		luna		0								2026-08-05T14:34:39.049Z		
S000047	src/arch/arm64/kernel/paravirt.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/paravirt.c	aarch64	arch	16.7	high		luna		0								2026-08-05T14:34:39.049Z		
S000048	src/arch/arm64/kernel/patching.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/patching.c	aarch64	arch	23.8	high		luna		0								2026-08-05T14:34:39.049Z		
S000049	src/arch/arm64/kernel/pci.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/pci.c	aarch64	arch	4.2	high		luna		0								2026-08-05T14:34:39.049Z		
S000050	src/arch/arm64/kernel/perf_callchain.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/perf_callchain.c	aarch64	arch	4.0	high		luna		0								2026-08-05T14:34:39.049Z		
S000051	src/arch/arm64/kernel/perf_regs.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/perf_regs.c	aarch64	arch	10.6	high		luna		0								2026-08-05T14:34:39.049Z		
S000052	src/arch/arm64/kernel/pointer_auth.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/pointer_auth.c	aarch64	arch	11.3	high		luna		0								2026-08-05T14:34:39.049Z		
S000053	src/arch/arm64/kernel/process.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/process.c	aarch64	arch	100.5	high		luna		0								2026-08-05T14:34:39.049Z		
S000054	src/arch/arm64/kernel/proton-pack.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/proton-pack.c	aarch64	arch	120.6	high		luna		0								2026-08-05T14:34:39.049Z		
S000055	src/arch/arm64/kernel/psci.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/psci.c	aarch64	arch	12.4	high		luna		0								2026-08-05T14:34:39.049Z		
S000056	src/arch/arm64/kernel/ptrace.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/ptrace.c	aarch64	arch	252.9	high		luna		0								2026-08-05T14:34:39.049Z		
S000058	src/arch/arm64/kernel/return_address.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/return_address.c	aarch64	arch	5.0	high		luna		0								2026-08-05T14:34:39.049Z		
S000059	src/arch/arm64/kernel/rsi.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/rsi.c	aarch64	arch	17.6	high		luna		0								2026-08-05T14:34:39.049Z		
S000060	src/arch/arm64/kernel/sdei.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/sdei.c	aarch64	arch	25.9	high		luna		0								2026-08-05T14:34:39.049Z		
S000061	src/arch/arm64/kernel/setup.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/setup.c	aarch64	arch	43.6	high		luna		0								2026-08-05T14:34:39.049Z		
S000062	src/arch/arm64/kernel/signal.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/signal.c	aarch64	arch	176.0	high		luna		0								2026-08-05T14:34:39.049Z		
S000063	src/arch/arm64/kernel/signal32.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/signal32.c	aarch64	arch	49.8	high		luna		0								2026-08-05T14:34:39.049Z		
S000067	src/arch/arm64/kernel/smp.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/smp.c	aarch64	arch	131.6	high		luna		0								2026-08-05T14:34:39.049Z		
S000068	src/arch/arm64/kernel/smp_spin_table.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/smp_spin_table.c	aarch64	arch	12.7	high		luna		0								2026-08-05T14:34:39.049Z		
S000069	src/arch/arm64/kernel/stacktrace.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/stacktrace.c	aarch64	arch	62.1	high		luna		0								2026-08-05T14:34:39.049Z		
S000070	src/arch/arm64/kernel/suspend.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/suspend.c	aarch64	arch	18.7	high		luna		0								2026-08-05T14:34:39.049Z		
S000071	src/arch/arm64/kernel/sys.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/sys.c	aarch64	arch	6.3	high		luna		0								2026-08-05T14:34:39.049Z		
S000072	src/arch/arm64/kernel/sys32.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/sys32.c	aarch64	arch	13.2	high		luna		0								2026-08-05T14:34:39.049Z		
S000073	src/arch/arm64/kernel/sys_compat.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/sys_compat.c	aarch64	arch	11.8	high		luna		0								2026-08-05T14:34:39.049Z		
S000074	src/arch/arm64/kernel/syscall.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/syscall.c	aarch64	arch	14.9	high		luna		0								2026-08-05T14:34:39.049Z		
S000075	src/arch/arm64/kernel/time.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/time.c	aarch64	arch	7.2	high		luna		0								2026-08-05T14:34:39.049Z		
S000076	src/arch/arm64/kernel/topology.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/topology.c	aarch64	arch	47.6	high		luna		0								2026-08-05T14:34:39.049Z		
S000077	src/arch/arm64/kernel/traps.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/traps.c	aarch64	arch	110.3	high		luna		0								2026-08-05T14:34:39.049Z		
S000079	src/arch/arm64/kernel/vdso.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/vdso.c	aarch64	arch	34.5	high		luna		0								2026-08-05T14:34:39.049Z		
S000081	src/arch/arm64/kernel/vmcore_info.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kernel/vmcore_info.c	aarch64	arch	3.9	high		luna		0								2026-08-05T14:34:39.049Z		
S000082	src/arch/arm64/kvm/arch_timer.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/arch_timer.c	aarch64	arch	175.7	high		luna		0								2026-08-05T14:34:39.049Z		
S000083	src/arch/arm64/kvm/arm.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/arm.c	aarch64	arch	317.9	high		luna		0								2026-08-05T14:34:39.049Z		
S000084	src/arch/arm64/kvm/at.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/at.c	aarch64	arch	187.5	high		luna		0								2026-08-05T14:34:39.049Z		
S000085	src/arch/arm64/kvm/config.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/config.c	aarch64	arch	174.7	high		luna		0								2026-08-05T14:34:39.049Z		
S000086	src/arch/arm64/kvm/debug.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/debug.c	aarch64	arch	29.3	high		luna		0								2026-08-05T14:34:39.049Z		
S000087	src/arch/arm64/kvm/emulate-nested.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/emulate-nested.c	aarch64	arch	297.2	high		luna		0								2026-08-05T14:34:39.049Z		
S000088	src/arch/arm64/kvm/fpsimd.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/fpsimd.c	aarch64	arch	14.8	high		luna		0								2026-08-05T14:34:39.049Z		
S000089	src/arch/arm64/kvm/guest.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/guest.c	aarch64	arch	108.1	high		luna		0								2026-08-05T14:34:39.049Z		
S000090	src/arch/arm64/kvm/handle_exit.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/handle_exit.c	aarch64	arch	58.0	high		luna		0								2026-08-05T14:34:39.049Z		
S000091	src/arch/arm64/kvm/hyp/aarch32.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/hyp/aarch32.c	aarch64	arch	15.4	high		luna		0								2026-08-05T14:34:39.049Z		
S000093	src/arch/arm64/kvm/hyp/exception.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/hyp/exception.c	aarch64	arch	37.7	high		luna		0								2026-08-05T14:34:39.049Z		
S000095	src/arch/arm64/kvm/hyp/pgtable.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/hyp/pgtable.c	aarch64	arch	171.0	high		luna		0								2026-08-05T14:34:39.049Z		
S000096	src/arch/arm64/kvm/hyp/vgic-v2-cpuif-proxy.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/hyp/vgic-v2-cpuif-proxy.c	aarch64	arch	9.3	high		luna		0								2026-08-05T14:34:39.049Z		
S000097	src/arch/arm64/kvm/hyp/vgic-v3-sr.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/hyp/vgic-v3-sr.c	aarch64	arch	128.9	high		luna		0								2026-08-05T14:34:39.049Z		
S000098	src/arch/arm64/kvm/hyp/vgic-v5-sr.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/hyp/vgic-v5-sr.c	aarch64	arch	11.6	high		luna		0								2026-08-05T14:34:39.049Z		
S000099	src/arch/arm64/kvm/hyp/vhe/debug-sr.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/hyp/vhe/debug-sr.c	aarch64	arch	2.1	high		luna		0								2026-08-05T14:34:39.049Z		
S000100	src/arch/arm64/kvm/hyp/vhe/switch.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/hyp/vhe/switch.c	aarch64	arch	68.9	high		luna		0								2026-08-05T14:34:39.049Z		
S000101	src/arch/arm64/kvm/hyp/vhe/sysreg-sr.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/hyp/vhe/sysreg-sr.c	aarch64	arch	29.3	high		luna		0								2026-08-05T14:34:39.049Z		
S000102	src/arch/arm64/kvm/hyp/vhe/timer-sr.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/hyp/vhe/timer-sr.c	aarch64	arch	1.2	high		luna		0								2026-08-05T14:34:39.049Z		
S000103	src/arch/arm64/kvm/hyp/vhe/tlb.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/hyp/vhe/tlb.c	aarch64	arch	36.6	high		luna		0								2026-08-05T14:34:39.049Z		
S000104	src/arch/arm64/kvm/hypercalls.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/hypercalls.c	aarch64	arch	67.9	high		luna		0								2026-08-05T14:34:39.049Z		
S000105	src/arch/arm64/kvm/inject_fault.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/inject_fault.c	aarch64	arch	39.2	high		luna		0								2026-08-05T14:34:39.049Z		
S000106	src/arch/arm64/kvm/mmio.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/mmio.c	aarch64	arch	26.0	high		luna		0								2026-08-05T14:34:39.049Z		
S000107	src/arch/arm64/kvm/mmu.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/mmu.c	aarch64	arch	279.5	high		luna		0								2026-08-05T14:34:39.049Z		
S000108	src/arch/arm64/kvm/nested.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/nested.c	aarch64	arch	202.4	high		luna		0								2026-08-05T14:34:39.049Z		
S000109	src/arch/arm64/kvm/pauth.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/pauth.c	aarch64	arch	20.6	high		luna		0								2026-08-05T14:34:39.049Z		
S000110	src/arch/arm64/kvm/pkvm.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/pkvm.c	aarch64	arch	59.2	high		luna		0								2026-08-05T14:34:39.049Z		
S000111	src/arch/arm64/kvm/pmu-emul.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/pmu-emul.c	aarch64	arch	133.2	high		luna		0								2026-08-05T14:34:39.049Z		
S000112	src/arch/arm64/kvm/pmu.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/pmu.c	aarch64	arch	21.1	high		luna		0								2026-08-05T14:34:39.049Z		
S000113	src/arch/arm64/kvm/psci.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/psci.c	aarch64	arch	50.7	high		luna		0								2026-08-05T14:34:39.049Z		
S000114	src/arch/arm64/kvm/pvtime.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/pvtime.c	aarch64	arch	13.3	high		luna		0								2026-08-05T14:34:39.049Z		
S000115	src/arch/arm64/kvm/reset.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/reset.c	aarch64	arch	32.7	high		luna		0								2026-08-05T14:34:39.049Z		
S000116	src/arch/arm64/kvm/stacktrace.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/stacktrace.c	aarch64	arch	24.6	high		luna		0								2026-08-05T14:34:39.049Z		
S000117	src/arch/arm64/kvm/sys_regs.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/sys_regs.c	aarch64	arch	586.2	high		luna		0								2026-08-05T14:34:39.049Z		
S000118	src/arch/arm64/kvm/trng.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/trng.c	aarch64	arch	8.5	high		luna		0								2026-08-05T14:34:39.049Z		
S000119	src/arch/arm64/kvm/va_layout.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/va_layout.c	aarch64	arch	32.1	high		luna		0								2026-08-05T14:34:39.049Z		
S000120	src/arch/arm64/kvm/vgic-sys-reg-v3.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/vgic-sys-reg-v3.c	aarch64	arch	48.9	high		luna		0								2026-08-05T14:34:39.049Z		
S000121	src/arch/arm64/kvm/vgic/vgic-debug.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/vgic/vgic-debug.c	aarch64	arch	51.3	high		luna		0								2026-08-05T14:34:39.049Z		
S000122	src/arch/arm64/kvm/vgic/vgic-init.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/vgic/vgic-init.c	aarch64	arch	84.3	high		luna		0								2026-08-05T14:34:39.049Z		
S000123	src/arch/arm64/kvm/vgic/vgic-irqfd.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/vgic/vgic-irqfd.c	aarch64	arch	16.2	high		luna		0								2026-08-05T14:34:39.049Z		
S000124	src/arch/arm64/kvm/vgic/vgic-its.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/vgic/vgic-its.c	aarch64	arch	282.9	high		luna		0								2026-08-05T14:34:39.049Z		
S000125	src/arch/arm64/kvm/vgic/vgic-kvm-device.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/vgic/vgic-kvm-device.c	aarch64	arch	81.9	high		luna		0								2026-08-05T14:34:39.049Z		
S000126	src/arch/arm64/kvm/vgic/vgic-mmio-v2.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/vgic/vgic-mmio-v2.c	aarch64	arch	58.5	high		luna		0								2026-08-05T14:34:39.049Z		
S000127	src/arch/arm64/kvm/vgic/vgic-mmio-v3.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/vgic/vgic-mmio-v3.c	aarch64	arch	117.2	high		luna		0								2026-08-05T14:34:39.049Z		
S000128	src/arch/arm64/kvm/vgic/vgic-mmio.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/vgic/vgic-mmio.c	aarch64	arch	113.1	high		luna		0								2026-08-05T14:34:39.049Z		
S000129	src/arch/arm64/kvm/vgic/vgic-v2.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/vgic/vgic-v2.c	aarch64	arch	62.2	high		luna		0								2026-08-05T14:34:39.049Z		
S000130	src/arch/arm64/kvm/vgic/vgic-v3-nested.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/vgic/vgic-v3-nested.c	aarch64	arch	40.7	high		luna		0								2026-08-05T14:34:39.049Z		
S000131	src/arch/arm64/kvm/vgic/vgic-v3.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/vgic/vgic-v3.c	aarch64	arch	101.6	high		luna		0								2026-08-05T14:34:39.049Z		
S000132	src/arch/arm64/kvm/vgic/vgic-v4.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/vgic/vgic-v4.c	aarch64	arch	55.5	high		luna		0								2026-08-05T14:34:39.049Z		
S000133	src/arch/arm64/kvm/vgic/vgic-v5.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/vgic/vgic-v5.c	aarch64	arch	51.8	high		luna		0								2026-08-05T14:34:39.049Z		
S000134	src/arch/arm64/kvm/vgic/vgic.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/vgic/vgic.c	aarch64	arch	133.6	high		luna		0								2026-08-05T14:34:39.049Z		
S000135	src/arch/arm64/kvm/vmid.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/kvm/vmid.c	aarch64	arch	19.5	high		luna		0								2026-08-05T14:34:39.049Z		
S000141	src/arch/arm64/lib/csum.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/lib/csum.c	aarch64	arch	15.7	high		luna		0								2026-08-05T14:34:39.049Z		
S000142	src/arch/arm64/lib/delay.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/lib/delay.c	aarch64	arch	8.4	high		luna		0								2026-08-05T14:34:39.049Z		
S000143	src/arch/arm64/lib/insn.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/lib/insn.c	aarch64	arch	157.1	high		luna		0								2026-08-05T14:34:39.049Z		
S000157	src/arch/arm64/mm/context.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/mm/context.c	aarch64	arch	42.2	high		luna		0								2026-08-05T14:34:39.049Z		
S000158	src/arch/arm64/mm/contpte.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/mm/contpte.c	aarch64	arch	69.8	high		luna		0								2026-08-05T14:34:39.049Z		
S000159	src/arch/arm64/mm/copypage.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/mm/copypage.c	aarch64	arch	7.4	high		luna		0								2026-08-05T14:34:39.049Z		
S000160	src/arch/arm64/mm/dma-mapping.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/mm/dma-mapping.c	aarch64	arch	5.4	high		luna		0								2026-08-05T14:34:39.049Z		
S000161	src/arch/arm64/mm/extable.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/mm/extable.c	aarch64	arch	11.6	high		luna		0								2026-08-05T14:34:39.049Z		
S000162	src/arch/arm64/mm/fault.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/mm/fault.c	aarch64	arch	104.6	high		luna		0								2026-08-05T14:34:39.049Z		
S000163	src/arch/arm64/mm/fixmap.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/mm/fixmap.c	aarch64	arch	17.5	high		luna		0								2026-08-05T14:34:39.049Z		
S000164	src/arch/arm64/mm/flush.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/mm/flush.c	aarch64	arch	10.2	high		luna		0								2026-08-05T14:34:39.049Z		
S000165	src/arch/arm64/mm/gcs.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/mm/gcs.c	aarch64	arch	23.6	high		luna		0								2026-08-05T14:34:39.049Z		
S000166	src/arch/arm64/mm/hugetlbpage.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/mm/hugetlbpage.c	aarch64	arch	53.9	high		luna		0								2026-08-05T14:34:39.049Z		
S000167	src/arch/arm64/mm/init.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/mm/init.c	aarch64	arch	55.6	high		luna		0								2026-08-05T14:34:39.049Z		
S000168	src/arch/arm64/mm/ioremap.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/mm/ioremap.c	aarch64	arch	5.8	high		luna		0								2026-08-05T14:34:39.049Z		
S000169	src/arch/arm64/mm/mem_encrypt.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/mm/mem_encrypt.c	aarch64	arch	5.0	high		luna		0								2026-08-05T14:34:39.049Z		
S000170	src/arch/arm64/mm/mmap.rs	2026-08-05T14:34:39.049Z			TODO	arch/arm64/mm/mmap.c	aarch64	arch	13.3	high		luna		0								2026-08-05T14:34:39.049Z		
